platform,username,text,created_at,crawled_at
x,OpenAI,"GPT-5.4 Thinking and GPT-5.4 Pro are rolling out now in ChatGPT.

GPT-5.4 is also now available in the API and Codex.

GPT-5.4 brings our advances in reasoning, coding, and agentic workflows into one frontier model.",2026-03-05T18:10:38.000Z,2026-03-26T09:03:59.835572
x,OpenAI Developers,"Students: build something real in the Codex Creator Challenge, powered by 
@joinHandshake


Try new tools. Have fun. Break things. Repeat.

$10K in OpenAI API credits in prizes.",2026-03-25T17:02:10.000Z,2026-03-26T09:03:59.879903
x,Anthropic,"We invited Claude users to share how they use AI, what they dream it could make possible, and what they fear it might do.

Nearly 81,000 people responded in one week—the largest qualitative study of its kind.

Read more:",2026-03-18T16:13:23.000Z,2026-03-26T09:04:07.856041
x,Anthropic,"New on the Engineering Blog: How we designed Claude Code auto mode.

Many Claude Code users let Claude work without permission prompts. Auto mode is a safer middle ground: we built and tested classifiers that make approval decisions instead.

Read more:",2026-03-25T23:14:21.000Z,2026-03-26T09:04:07.886518
x,Anthropic,"New from the Anthropic Economic Index: how people’s use of Claude changes with experience.

Longer-term users are more likely to iterate carefully with Claude, and less likely to hand it full autonomy. They attempt higher-value tasks, and receive more successful responses.",2026-03-24T17:45:37.000Z,2026-03-26T09:04:07.921766
x,Anthropic,"We find that since November 2025, consumer use has become less concentrated: the top 10 tasks now make up 19% of conversations, down from 24%. We also see a rise in personal queries, and continued convergence in adoption rates in the US.

Read more:",2026-03-24T17:45:38.000Z,2026-03-26T09:04:07.953992
x,Google DeepMind,"Google DeepMind  Agile Robots

Our new research partnership will integrate the Gemini foundation models with their hardware to help build the next generation of more helpful and useful robots. 

Find out more → 
https://
goo.gle/4lKu7de",2026-03-24T12:21:33.000Z,2026-03-26T09:04:15.330034
x,Google DeepMind,"You can now create longer tracks with Lyria 3 Pro.  

Map out intros, verses, choruses, and bridges to build high-fidelity compositions up to 3 minutes long. ",2026-03-25T16:02:41.000Z,2026-03-26T09:04:15.364409
x,Google DeepMind,"Lyria 3 Pro is rolling out now.

Developers can build with the API in 
@GoogleAIStudio
, while paid subscribers have access in the 
@GeminiApp
.

Find out more ↓",2026-03-25T16:02:42.000Z,2026-03-26T09:04:15.444040
